X,Y,Z,IDS,KRIG,90-71,90-
4650,5300,3050,1.07,1.06,1.529,1.274947
4700,5300,3050,1.26,1.36,0.992,0.806679
4750,5300,3050,1.09,1.12,0.580,0.426501
4800,5300,3050,0.74,0.96,0.311,0.224228
4450,5350,3050,0.66,0.7,0.527,0.435697
4500,5350,3050,0.59,0.63,0.716,0.755763
4550,5350,3050,0.48,1.31,1.391,1.361761
4600,5350,3050,1.77,1.75,2.387,1.88313
4650,5350,3050,1.07,1.04,1.872,1.440288
4700,5350,3050,1.82,1.36,1.181,0.817234
4750,5350,3050,1.34,1.21,0.628,0.430331
4400,5400,3050,0.5,0.42,0.362,0.313851
4450,5400,3050,0.6,0.64,0.484,0.405142
4500,5400,3050,0.77,0.72,0.670,0.724842
4550,5400,3050,2.13,1.83,1.289,1.311008
4600,5400,3050,2.73,2.49,2.512,1.939414
4650,5400,3050,1.17,1.2,1.879,1.354196
4700,5400,3050,1.08,1,1.108,0.761694
4400,5450,3050,0.38,0.38,0.329,0.280579
4450,5450,3050,0.7,0.73,0.447,0.372727
4500,5450,3050,1.03,1.01,0.628,0.670603
4550,5450,3050,2.5,2.22,1.039,1.187367
4600,5450,3050,2.95,2.79,2.266,1.767311
4650,5450,3050,1.84,1.74,1.702,1.184561
4700,5450,3050,1.62,1.51,0.909,0.673567
4400,5500,3050,0.36,0.49,0.302,0.248206
4450,5500,3050,0.61,0.77,0.408,0.344696
4500,5500,3050,1.2,1.18,0.575,0.605657
4550,5500,3050,1.88,1.64,0.846,1.005361
4600,5500,3050,1.49,1.65,1.557,1.342288
4650,5500,3050,1.56,1.47,1.435,1.015491
4700,5500,3050,1.32,1.36,0.730,0.591627
4400,5550,3050,0.4,0.5,0.272,0.217323
4450,5550,3050,0.76,0.84,0.366,0.310008
4500,5550,3050,1.21,1.19,0.518,0.519629
4550,5550,3050,1.19,1.2,0.712,0.752325
4600,5550,3050,0.96,0.84,1.006,0.99199
4650,5550,3050,0.73,0.67,0.978,0.843317
4350,5600,3050,0.12,0.26,0.182,0.150424
4400,5600,3050,0.5,0.59,0.241,0.184304
4450,5600,3050,0.99,0.93,0.328,0.270177
4500,5600,3050,0.99,0.85,0.467,0.397451
4550,5600,3050,0.52,0.59,0.596,0.558347
4600,5600,3050,0.4,0.45,0.664,0.732099
4650,5600,3050,0.24,0.34,0.612,0.679353
4350,5650,3050,0.22,0.5,0.159,0.125496
4400,5650,3050,0.48,0.61,0.216,0.15451
4450,5650,3050,0.75,0.58,0.295,0.215054
4500,5650,3050,0.77,0.75,0.415,0.297258
4550,5650,3050,0.26,0.5,0.482,0.413839
4350,5700,3050,0.31,0.48,0.142,0.102491
4400,5700,3050,0.52,0.64,0.193,0.122856
4450,5700,3050,0.61,0.56,0.265,0.161662
