X,Y,Z,IDS,KRIG,LOGKRIG,ANN
4650,5200,3050,0.54,0.55,0.7,1.64
4700,5200,3050,0.5,0.45,0.37,1.14
4750,5200,3050,0.27,0.35,0.21,0.75
4800,5200,3050,0.21,0.32,0.17,0.48
4450,5250,3050,0.82,0.79,0.97,0.78
4500,5250,3050,1.28,1.37,1.4,1.47
4550,5250,3050,1.31,1.38,1.65,2.37
4600,5250,3050,0.78,0.86,1.07,2.54
4650,5250,3050,0.61,0.67,0.84,1.96
4700,5250,3050,0.96,0.82,1.06,1.33
4750,5250,3050,0.81,0.69,0.76,0.84
4800,5250,3050,0.6,0.58,0.29,0.52
4450,5300,3050,0.86,0.8,0.98,0.8
4500,5300,3050,1.3,1.25,1.19,1.53
4550,5300,3050,1.91,1.82,1.42,2.6
4600,5300,3050,1.57,1.66,1.54,2.91
4650,5300,3050,1.07,1.06,1.36,2.24
4700,5300,3050,1.26,1.36,1.57,1.47
4750,5300,3050,1.09,1.12,1.02,0.89
4800,5300,3050,0.74,0.96,0.8,0.52
4450,5350,3050,0.66,0.7,0.82,0.8
4500,5350,3050,0.59,0.63,0.69,1.55
4550,5350,3050,0.48,1.31,1.02,2.71
4600,5350,3050,1.77,1.75,1.57,3.14
4650,5350,3050,1.07,1.04,1.14,2.4
4700,5350,3050,1.82,1.36,1.3,1.51
4750,5350,3050,1.34,1.21,1.25,0.87
4400,5400,3050,0.5,0.42,0.44,0.42
4450,5400,3050,0.6,0.64,0.74,0.78
4500,5400,3050,0.77,0.72,0.78,1.51
4550,5400,3050,2.13,1.83,1.53,2.67
4600,5400,3050,2.73,2.49,2.97,3.16
4650,5400,3050,1.17,1.2,1.28,2.38
4700,5400,3050,1.08,1,1.2,1.42
4400,5450,3050,0.38,0.38,0.43,0.39
4450,5450,3050,0.7,0.73,0.85,0.73
4500,5450,3050,1.03,1.01,1.19,1.4
4550,5450,3050,2.5,2.22,2.65,2.44
4600,5450,3050,2.95,2.79,3.37,2.9
4650,5450,3050,1.84,1.74,2.07,2.15
4700,5450,3050,1.62,1.51,1.64,1.22
4400,5500,3050,0.36,0.49,0.39,0.36
4450,5500,3050,0.61,0.77,0.76,0.65
4500,5500,3050,1.2,1.18,1.41,1.22
4550,5500,3050,1.88,1.64,2.09,2.04
4600,5500,3050,1.49,1.65,1.9,2.41
4650,5500,3050,1.56,1.47,1.74,1.75
4700,5500,3050,1.32,1.36,1.47,0.96
4400,5550,3050,0.4,0.5,0.38,0.31
4450,5550,3050,0.76,0.84,0.83,0.55
4500,5550,3050,1.21,1.19,1.43,0.99
4550,5550,3050,1.19,1.2,1.49,1.58
4600,5550,3050,0.96,0.84,0.78,1.81
4650,5550,3050,0.73,0.67,0.63,1.3
4350,5600,3050,0.12,0.26,0.21,0.17
4400,5600,3050,0.5,0.59,0.39,0.27
4450,5600,3050,0.99,0.93,0.96,0.45
4500,5600,3050,0.99,0.85,0.78,0.77
4550,5600,3050,0.52,0.59,0.48,1.15
4600,5600,3050,0.4,0.45,0.28,1.27
4650,5600,3050,0.24,0.34,0.28,0.91
4350,5650,3050,0.22,0.5,0.26,0.14
4400,5650,3050,0.48,0.61,0.38,0.22
4450,5650,3050,0.75,0.58,0.43,0.36
4500,5650,3050,0.77,0.75,0.54,0.59
4550,5650,3050,0.26,0.5,0.31,0.81
4350,5700,3050,0.31,0.48,0.3,0.12
4400,5700,3050,0.52,0.64,0.41,0.19
4450,5700,3050,0.61,0.56,0.35,0.29
4500,5700,3050,0.52,0.52,0.32,0.44
4450,4950,3025,0.53,0.49,0.6,0.66
4500,4950,3025,0.53,0.6,0.64,0.9
4550,4950,3025,0.43,0.5,0.58,0.96
4600,4950,3025,0.32,0.39,0.45,0.81
4650,4950,3025,0.25,0.23,0.29,0.61
4700,4950,3025,0.16,0.21,0.21,0.44
4750,4950,3025,0.09,0.12,0.12,0.31
4450,5000,3025,0.58,0.64,0.81,0.67
4500,5000,3025,0.81,0.71,0.85,0.98
4550,5000,3025,0.82,0.77,0.89,1.13
4600,5000,3025,0.65,0.74,0.78,1
4650,5000,3025,0.47,0.45,0.46,0.76
4700,5000,3025,0.24,0.22,0.22,0.54
4750,5000,3025,0.09,0.12,0.13,0.38
4450,5050,3025,0.78,0.72,0.85,0.68
4500,5050,3025,1.01,0.91,1.07,1.05
4550,5050,3025,1.02,1.02,1.25,1.32
4600,5050,3025,0.78,0.77,0.99,1.22
