X,Y,Z,% Cu,,,,,,,,
4580,5463,3089.5,1.50412184,,,,,,,,
4580,5463,3089.5,1.50412184,,,,,,,,
4580,5463,3089.5,1.50412184,,,,,,,,
4580,5463,3089.5,1.50412184,,,,,,,,
4580,5463,3089.5,1.50412184,,,,,,,,
4471.94,5530.02,3120.69,-2.857710976,,,,,,,,
4471.94,5530.02,3120.69,-2.857710976,,,,,,,,
4471.94,5530.02,3120.69,-2.857710976,,,,,,,,
4471.94,5530.02,3120.69,-2.857710976,,,,,,,,
4471.94,5530.02,3120.69,-2.857710976,,,,,,,,
4471.94,5530.02,3120.69,-2.857710976,,,,,,,,
4471.94,5530.02,3120.69,-2.857710976,,,,,,,,
4662.77,5402.83,2938.77,-0.580175702,,,,,,,,
4362.67,5042.89,3084.59,-1.243406874,,,,,,,,
4750.5,4923.21,2778.5,-1.865621318,,,,,,,,
4750.5,4923.21,2778.5,-1.865621318,,,,,,,,
4750.5,4923.21,2778.5,-1.865621318,,,,,,,,
4750.5,4923.21,2778.5,-1.865621318,,,,,,,,
4750.5,4923.21,2778.5,-1.865621318,,,,,,,,
4750.5,4923.21,2778.5,-1.865621318,,,,,,,,
4750.5,4923.21,2778.5,-1.865621318,,,,,,,,
4750.5,4923.21,2778.5,-1.865621318,,,,,,,,
4750.5,4923.21,2778.5,-1.865621318,,,,,,,,
4750.5,4923.21,2778.5,-1.865621318,,,,,,,,
4750.5,4923.21,2778.5,-1.865621318,,,,,,,,
4578.15,5040.88,3126.27,-1.680933914,,,,,,,,
4578.15,5040.88,3126.27,-1.680933914,,,,,,,,
4578.15,5040.88,3126.27,-1.680933914,,,,,,,,
4578.15,5040.88,3126.27,-1.680933914,,,,,,,,
4578.15,5040.88,3126.27,-1.680933914,,,,,,,,
4578.15,5040.88,3126.27,-1.680933914,,,,,,,,
4578.15,5040.88,3126.27,-1.680933914,,,,,,,,
4578.15,5040.88,3126.27,-1.680933914,,,,,,,,
4578.15,5040.88,3126.27,-1.680933914,,,,,,,,
4578.15,5040.88,3126.27,-1.680933914,,,,,,,,
4578.15,5040.88,3126.27,-1.680933914,,,,,,,,
4548.06,5581.94,2794.35,-1.000759889,,,,,,,,
4572,5323,2785.5,-0.135819723,,,,,,,,
4625.49,5757.91,2898.63,-1.490766383,,,,,,,,
4345,5613,2815.5,-1.957577954,,,,,,,,
4413.9,5522.59,2949.24,-1.537117251,,,,,,,,
4627.42,5402.77,2903.42,-0.377460912,,,,,,,,
4965.94,4630.48,3083.16,-3.604538306,,,,,,,,
4965.94,4630.48,3083.16,-3.604538306,,,,,,,,
4965.94,4630.48,3083.16,-3.604538306,,,,,,,,
4965.94,4630.48,3083.16,-3.604538306,,,,,,,,
4965.94,4630.48,3083.16,-3.604538306,,,,,,,,
4965.94,4630.48,3083.16,-3.604538306,,,,,,,,
4965.94,4630.48,3083.16,-3.604538306,,,,,,,,
4525.32,5161.75,3066.59,-0.067422676,,,,,,,,
4570,5184,2868.5,-0.06592615,,,,,,,,
4325,5053,2967.5,-0.807884858,,,,,,,,
4311.51,5102.05,3021.72,-1.914605299,,,,,,,,
4580,5463,2939.5,0.268652147,,,,,,,,
4750.46,4923.23,2753.5,-2.154165088,,,,,,,,
4750.46,4923.23,2753.5,-2.154165088,,,,,,,,
4750.46,4923.23,2753.5,-2.154165088,,,,,,,,
4750.46,4923.23,2753.5,-2.154165088,,,,,,,,
4750.46,4923.23,2753.5,-2.154165088,,,,,,,,
4750.46,4923.23,2753.5,-2.154165088,,,,,,,,
4750.46,4923.23,2753.5,-2.154165088,,,,,,,,
4489.45,5403.87,3037.11,-0.505174952,,,,,,,,
4750.66,4923.14,2878.5,-2.012905018,,,,,,,,
4750.66,4923.14,2878.5,-2.012905018,,,,,,,,
4750.66,4923.14,2878.5,-2.012905018,,,,,,,,
4520.7,5522.22,3054.56,0.112614144,,,,,,,,
4565.44,5580.69,2896.42,-1.173766962,,,,,,,,
4565.44,5580.69,2896.42,-1.173766962,,,,,,,,
4565.44,5580.69,2896.42,-1.173766962,,,,,,,,
4565.44,5580.69,2896.42,-1.173766962,,,,,,,,
4565.44,5580.69,2896.42,-1.173766962,,,,,,,,
